#
# ROI List for gatesofthemountains
#
# Site: gatesofthemountains
# Veg Type: GR
# ROI ID Number: 1000
# Owner: bijan
# Creation Date: 2018-08-07
# Creation Time: 14:56:42
# Update Date: 2018-12-20
# Update Time: 08:48:42
# Description: grassy path on the hill 
#
start_date,start_time,end_date,end_time,maskfile,sample_image
2001-06-05,12:00:00,2002-07-28,12:00:00,gatesofthemountains_GR_1000_01.tif,gatesofthemountains_2001_06_05_120000.jpg
2002-07-29,12:00:00,2003-03-07,12:00:00,gatesofthemountains_GR_1000_02.tif,gatesofthemountains_2002_07_29_120000.jpg
2003-04-01,12:00:00,2003-06-03,09:00:00,gatesofthemountains_GR_1000_03.tif,gatesofthemountains_2003_06_03_090000.jpg
2003-06-03,09:00:00,2011-08-11,00:00:00,gatesofthemountains_GR_1000_04.tif,gatesofthemountains_2004_11_30_120000.jpg

