#
# ROI List for monture
#
# Site: monture
# Veg Type: GR
# ROI ID Number: 1000
# Owner: bijan
# Creation Date: 2014-11-01
# Creation Time: 21:58:26
# Update Date: 2018-08-07
# Update Time: 13:24:32
# Description: Grassy field in foreground center
#
start_date,start_time,end_date,end_time,maskfile,sample_image
2001-06-08,12:00:00,2001-06-15,11:59:59,monture_GR_1000_01.tif,monture_2001_06_08_120000.jpg
2001-06-15,12:00:00,2001-07-30,11:59:59,monture_GR_1000_02.tif,monture_2001_06_15_120000.jpg
2001-07-30,12:00:00,2001-08-07,14:59:59,monture_GR_1000_03.tif,monture_2001_07_30_120000.jpg
2001-08-07,15:00:00,2001-11-14,14:59:59,monture_GR_1000_04.tif,monture_2001_08_07_150000.jpg
2001-11-14,15:00:00,2001-12-12,14:59:59,monture_GR_1000_05.tif,monture_2001_11_14_150000.jpg
2001-12-12,15:00:00,2001-12-31,11:59:59,monture_GR_1000_06.tif,monture_2001_12_12_150000.jpg
2001-12-31,12:00:00,2002-09-16,14:59:59,monture_GR_1000_07.tif,monture_2001_12_31_120000.jpg
2002-09-16,15:00:00,2002-12-11,11:59:59,monture_GR_1000_08.tif,monture_2002_09_16_150000.jpg
2002-12-11,12:00:00,2003-01-07,14:59:59,monture_GR_1000_09.tif,monture_2002_12_11_120000.jpg
2003-01-07,15:00:00,2003-02-05,08:59:59,monture_GR_1000_10.tif,monture_2003_01_07_150000.jpg
2003-02-05,09:00:00,2003-07-22,14:59:59,monture_GR_1000_11.tif,monture_2003_02_05_090000.jpg
2003-07-22,15:00:00,2004-04-20,11:59:59,monture_GR_1000_12.tif,monture_2003_07_22_150000.jpg
2004-04-20,12:00:00,2004-09-08,11:59:59,monture_GR_1000_13.tif,monture_2004_04_20_120000.jpg
2004-09-08,12:00:00,2004-10-05,11:59:59,monture_GR_1000_14.tif,monture_2004_09_08_120000.jpg
2004-10-05,12:00:00,2004-11-03,11:59:59,monture_GR_1000_15.tif,monture_2004_10_05_120000.jpg
2004-11-03,12:00:00,2004-11-23,11:59:59,monture_GR_1000_16.tif,monture_2004_11_03_120000.jpg
2004-11-23,12:00:00,2005-01-26,08:59:59,monture_GR_1000_17.tif,monture_2004_11_23_120000.jpg
2005-01-26,09:00:00,2005-02-23,08:59:59,monture_GR_1000_18.tif,monture_2005_01_26_090000.jpg
2005-02-23,09:00:00,2005-03-22,08:59:59,monture_GR_1000_19.tif,monture_2005_02_23_090000.jpg
2005-03-22,09:00:00,2005-03-30,08:59:59,monture_GR_1000_20.tif,monture_2005_03_22_090000.jpg
2005-03-30,09:00:00,2005-04-27,08:59:59,monture_GR_1000_21.tif,monture_2005_03_30_090000.jpg
2005-04-27,09:00:00,2005-05-25,08:59:59,monture_GR_1000_22.tif,monture_2005_04_27_090000.jpg
2005-05-25,09:00:00,2005-08-04,08:59:59,monture_GR_1000_23.tif,monture_2005_05_25_090000.jpg
2005-08-04,09:00:00,2005-08-15,08:59:59,monture_GR_1000_24.tif,monture_2005_08_04_090000.jpg
2005-08-15,09:00:00,2005-10-06,08:59:59,monture_GR_1000_56.tif,monture_2005_08_15_090000.jpg
2005-10-06,09:00:00,2005-10-31,08:59:59,monture_GR_1000_25.tif,monture_2005_10_06_090000.jpg
2005-10-31,09:00:00,2006-06-10,08:59:59,monture_GR_1000_26.tif,monture_2005_10_31_090000.jpg
2006-06-10,09:00:00,2006-08-06,14:59:59,monture_GR_1000_27.tif,monture_2006_06_10_090000.jpg
2006-08-06,15:00:00,2006-09-26,11:59:59,monture_GR_1000_28.tif,monture_2006_08_06_150000.jpg
2006-09-26,12:00:00,2006-10-21,08:59:59,monture_GR_1000_29.tif,monture_2006_09_26_120000.jpg
2006-10-21,09:00:00,2008-03-20,11:59:59,monture_GR_1000_30.tif,monture_2006_10_21_090000.jpg
2008-03-20,12:00:00,2008-04-24,08:59:59,monture_GR_1000_31.tif,monture_2008_03_20_120000.jpg
2008-04-24,09:00:00,2008-06-18,08:59:59,monture_GR_1000_32.tif,monture_2008_04_24_090000.jpg
2008-06-18,09:00:00,2008-10-08,08:59:59,monture_GR_1000_33.tif,monture_2008_06_18_090000.jpg
2008-10-08,09:00:00,2008-10-30,14:59:59,monture_GR_1000_34.tif,monture_2008_10_08_090000.jpg
2008-10-30,15:00:00,2009-03-04,08:59:59,monture_GR_1000_35.tif,monture_2008_10_30_150000.jpg
2009-03-04,09:00:00,2009-06-16,09:01:00,monture_GR_1000_36.tif,monture_2009_03_04_090000.jpg
2009-06-16,11:00:00,2009-09-01,09:01:00,monture_GR_1000_37.tif,monture_2009_06_16_120000.jpg
2009-09-01,11:00:00,2009-10-14,09:00:00,monture_GR_1000_38.tif,monture_2009_09_01_120000.jpg
2009-11-18,00:00:00,2010-01-12,12:00:00,monture_GR_1000_39.tif,monture_2009_11_18_120000.jpg
2010-02-02,15:00:00,2010-02-09,12:00:00,monture_GR_1000_40.tif,monture_2010_02_03_120000.jpg
2010-03-12,15:00:00,2010-10-01,00:00:00,monture_GR_1000_41.tif,monture_2010_03_12_150000.jpg

